date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:37	32563/32563	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2008:45:54%20GMT	https://www.weezbe.com/blog/tag/pricerunner/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/pricerunner/index.html	(from https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/)
00:39:37	32518/32518	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Sep%202018%2013:03:38%20GMT	https://www.weezbe.com/blog/tag/twenga/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/twenga/index.html	(from https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/)
00:39:37	32581/32581	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Sep%202018%2011:31:21%20GMT	https://www.weezbe.com/blog/tag/cherchons-com/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/cherchons-com/index.html	(from https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/)
00:39:39	56954/56954	---M--	200	added ('OK')	image/jpeg	etag:%22565d6a2e-de7a%22	https://www.weezbe.com/wp-content/uploads/logo-google-partner.jpg	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/uploads/logo-google-partner.jpg	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:39	1956/1956	---M-Z	200	added ('OK')	application/rss+xml	etag:%2271c25707ab27be329d6846b5cf113d3e%22	https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/feed/index.html	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:40	38688/38688	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:39:41%20GMT	https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/linkid.21a.delayed	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:41	2394/2394	---MCZ	200	added ('OK')	application/json	date:Mon,%2022%20Oct%202018%2022:39:41%20GMT	https://www.weezbe.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.weezbe.com%2Fblog%2Faugmenter-ventes-trafic-campagne-google-shopping%2F	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-json/oembed/1.0/embed0560.json	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Oct%202018%2022:39:41%20GMT	https://www.weezbe.com/?p=5318	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/indexc387.html	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:41	2486/2486	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Oct%202018%2022:39:42%20GMT	https://www.weezbe.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.weezbe.com%2Fblog%2Faugmenter-ventes-trafic-campagne-google-shopping%2F&format=xml	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-json/oembed/1.0/embedfb4c	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:42	72032/72032	---M--	200	added ('OK')	image/jpeg	etag:%2256cb1519-11960%22	https://www.weezbe.com/wp-content/uploads/Google_Shopping_gadget.jpg	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/uploads/Google_Shopping_gadget.jpg	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:42	68342/68342	---M--	200	added ('OK')	image/jpeg	etag:%2256cb1514-10af6%22	https://www.weezbe.com/wp-content/uploads/Google_Shopping_tel.jpg	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/uploads/Google_Shopping_tel.jpg	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:42	20627/20627	---M--	200	added ('OK')	image/jpeg	etag:%22565d6a2f-5093%22	https://www.weezbe.com/wp-content/uploads/logo-google-partner-300x103.jpg	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/uploads/logo-google-partner-300x103.jpg	(from https://www.weezbe.com/blog/augmenter-ventes-trafic-campagne-google-shopping/)
00:39:43	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:39:44%20GMT	https://www.weezbe.com/blog/tag/google/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/google/linkid.js	(from https://www.weezbe.com/blog/tag/google/)
